cell_id,N,distribution,CE,epsilon,direction,rho,method,replications,requested_m,actual_m,mean_grid_stability,reference_disagreement,mean_boundary_displacement,boundary_rmse,pass_rate_mean,pass_rate_sd,grade_count_sd_mean,competency_override_rate,infeasible_count
0,10,Normal,20.0,0.0,clean,0.0,MaxMin,500,0.0,0.0,0.7822772277227722,0.592059405940594,12.250957066188379,14.593544440544616,0.9955999999999999,0.020530050314888748,0.09191593043114152,0.0006,0
0,10,Normal,20.0,0.0,clean,0.0,MeanSD,500,0.0,0.0,0.8025346534653465,0.20055445544554457,3.1773214571928183,4.039074880868306,0.9440000000000001,0.05612753870607906,0.09144538086618073,0.0004,0
0,10,Normal,20.0,0.0,clean,0.0,MedianMAD,500,0.0,0.0,0.7726138613861389,0.2417425742574257,4.193580474989143,5.318402252205302,0.9210000000000002,0.0907494955461669,0.08533325467796596,0.0002,0
0,10,Normal,20.0,0.0,clean,0.0,Percentile,500,0.0,0.0,0.8082970297029703,0.21885148514851485,3.7677359989574875,4.734001688110383,0.8956000000000002,0.02053005031488875,0.0051325125787229494,0.0004,0
0,10,Normal,20.0,0.0,clean,0.0,QFactor,500,0.0,0.0,0.8597227722772277,0.5172673267326733,9.914659591971688,12.31966869722654,0.9955999999999999,0.020530050314888748,0.08332982039769693,0.0044,0
1,10,Normal,20.0,0.05,lower,0.0,MaxMin,500,0.5,0.0,0.7679603960396039,0.587069306930693,12.13560584741284,14.512638884512048,0.9964,0.018647666635316165,0.0922736812602352,0.0002,0
1,10,Normal,20.0,0.05,lower,0.0,MeanSD,500,0.5,0.0,0.7905940594059405,0.21265346534653468,3.4404381648927407,4.376146921622499,0.9354000000000001,0.0573883860524707,0.09163980023629828,0.0002,0
1,10,Normal,20.0,0.05,lower,0.0,MedianMAD,500,0.5,0.0,0.767009900990099,0.2461188118811881,4.396497538906549,5.637333968327912,0.9164,0.09004029380792822,0.08441725576849204,0.0004,0
1,10,Normal,20.0,0.05,lower,0.0,Percentile,500,0.5,0.0,0.8024554455445545,0.22285148514851486,3.903846141722734,4.958453427843408,0.8964000000000002,0.018647666635316165,0.004661916658829812,0.0002,0
1,10,Normal,20.0,0.05,lower,0.0,QFactor,500,0.5,0.0,0.850079207920792,0.519009900990099,10.030004003152802,12.488818119393674,0.9964,0.018647666635316165,0.08701218142561845,0.0036,0
2,10,Normal,20.0,0.05,upper,0.0,MaxMin,500,0.5,0.0,0.7831287128712872,0.5905940594059406,12.14364896539775,14.428133889955411,0.9967999999999999,0.018720601535305623,0.09126704186011668,0.0004,0
2,10,Normal,20.0,0.05,upper,0.0,MeanSD,500,0.5,0.0,0.8013267326732673,0.20164356435643563,3.148708592216672,3.941082412828876,0.9376000000000001,0.058249687141685214,0.09066971246286346,0.0002,0
2,10,Normal,20.0,0.05,upper,0.0,MedianMAD,500,0.5,0.0,0.772950495049505,0.24021782178217818,4.1369040054389625,5.22811384352726,0.9220000000000002,0.08747172460407089,0.0846715913228209,0.0002,0
2,10,Normal,20.0,0.05,upper,0.0,Percentile,500,0.5,0.0,0.8104158415841585,0.2188910891089109,3.7177951194289296,4.638637581567519,0.8968000000000002,0.018720601535305626,0.005033567994056933,0.0002,0
2,10,Normal,20.0,0.05,upper,0.0,QFactor,500,0.5,0.0,0.8628316831683168,0.525029702970297,10.17643496493076,12.599018828554263,0.9967999999999999,0.018720601535305623,0.0839534754162815,0.003,0
3,10,Compressed Normal,20.0,0.0,clean,0.0,MaxMin,500,0.0,0.0,0.9259009900990098,0.22267326732673265,4.8643930003117,5.7678994943787485,1.0,0.0,0.0896593151803361,0.0,0
3,10,Compressed Normal,20.0,0.0,clean,0.0,MeanSD,500,0.0,0.0,0.9307326732673268,0.06990099009900991,1.107042784857249,1.4078540623839948,0.9474000000000001,0.052714301619108825,0.0901723900009047,0.0,0
3,10,Compressed Normal,20.0,0.0,clean,0.0,MedianMAD,500,0.0,0.0,0.9230297029702971,0.08207920792079207,1.4221476027689066,1.8154924151080556,0.9212,0.09037086802490694,0.08297222896515544,0.0,0
3,10,Compressed Normal,20.0,0.0,clean,0.0,Percentile,500,0.0,0.0,0.934970297029703,0.07455445544554457,1.2777465011616012,1.6126132297527738,0.9000000000000002,2.222669831529484e-16,1.0939703077059182e-15,0.0,0
3,10,Compressed Normal,20.0,0.0,clean,0.0,QFactor,500,0.0,0.0,0.9495445544554455,0.2665742574257426,3.990858024828748,4.919877306023909,1.0,0.0,0.055194234598404945,0.0,0
4,10,Compressed Normal,20.0,0.05,lower,0.0,MaxMin,500,0.5,0.0,0.9236039603960396,0.22207920792079208,4.854188024650821,5.757796223865869,1.0,0.0,0.08954884995604337,0.0,0
4,10,Compressed Normal,20.0,0.05,lower,0.0,MeanSD,500,0.5,0.0,0.9285346534653467,0.07205940594059407,1.135722752283241,1.4277225669028122,0.9406,0.05419884712851481,0.09224465277302542,0.0,0
4,10,Compressed Normal,20.0,0.05,lower,0.0,MedianMAD,500,0.5,0.0,0.9213069306930693,0.0836039603960396,1.46613349514705,1.8604668191329543,0.9154000000000001,0.08762531821788479,0.08450675331959065,0.0,0
4,10,Compressed Normal,20.0,0.05,lower,0.0,Percentile,500,0.5,0.0,0.9335841584158416,0.07623762376237624,1.3031381074457906,1.6212628719882052,0.9000000000000002,2.222669831529484e-16,1.0939703077059182e-15,0.0,0
4,10,Compressed Normal,20.0,0.05,lower,0.0,QFactor,500,0.5,0.0,0.950970297029703,0.2687524752475247,4.027556519578259,4.960722360521653,1.0,0.0,0.054871106649541375,0.0,0
5,10,Compressed Normal,20.0,0.05,upper,0.0,MaxMin,500,0.5,0.0,0.9250693069306931,0.22314851485148515,4.867279857879544,5.760826102445156,1.0,0.0,0.08896046664200183,0.0,0
5,10,Compressed Normal,20.0,0.05,upper,0.0,MeanSD,500,0.5,0.0,0.9324554455445544,0.06849504950495049,1.0737968716381656,1.3675467735080098,0.9404000000000001,0.05189630480974354,0.08976799116861761,0.0,0
5,10,Compressed Normal,20.0,0.05,upper,0.0,MedianMAD,500,0.5,0.0,0.9242178217821783,0.08063366336633664,1.3877839054940533,1.7744415705835819,0.9132,0.08672255533139238,0.08529076593287288,0.0,0
5,10,Compressed Normal,20.0,0.05,upper,0.0,Percentile,500,0.5,0.0,0.9361584158415841,0.07390099009900991,1.2513479468021764,1.5742338962697087,0.9000000000000002,2.222669831529484e-16,1.0939703077059182e-15,0.0,0
5,10,Compressed Normal,20.0,0.05,upper,0.0,QFactor,500,0.5,0.0,0.9519405940594059,0.2717425742574257,4.08506302199083,5.026448226576835,1.0,0.0,0.05458285129663954,0.0,0
6,10,Uniform,20.0,0.0,clean,0.0,MaxMin,500,0.0,0.0,0.6643762376237624,0.49504950495049505,9.833492388842005,12.46807868607287,0.7804,0.13210125466083178,0.09506575146671369,0.0718,0
6,10,Uniform,20.0,0.0,clean,0.0,MeanSD,500,0.0,0.0,0.6412079207920792,0.3662376237623762,6.162127300605453,7.842616293671451,0.7512000000000001,0.1343676647809188,0.09358750362939733,0.0844,0
6,10,Uniform,20.0,0.0,clean,0.0,MedianMAD,500,0.0,0.0,0.6022772277227723,0.45257425742574264,8.666290163017775,11.015713051833345,0.7252,0.1425679179284207,0.08763180872901025,0.0798,0
6,10,Uniform,20.0,0.0,clean,0.0,Percentile,500,0.0,0.0,0.6682376237623762,0.4037623762376238,7.6917008157866835,9.739539498299964,0.693,0.12978709249674064,0.04121104797427767,0.055,0
6,10,Uniform,20.0,0.0,clean,0.0,QFactor,500,0.0,0.0,0.7965346534653466,0.4305940594059406,7.815529346593583,10.470127103173905,0.7804,0.13210125466083178,0.09772018460275375,0.1334,0
7,10,Uniform,20.0,0.05,lower,0.0,MaxMin,500,0.5,0.0,0.666910891089109,0.4868316831683169,9.423048595896208,12.005294597158045,0.7894000000000001,0.1257747135044013,0.09466278330085509,0.0712,0
7,10,Uniform,20.0,0.05,lower,0.0,MeanSD,500,0.5,0.0,0.6414257425742574,0.36285148514851484,6.01278914063538,7.669639789696676,0.7562000000000001,0.12268522048989158,0.09176283506132842,0.0812,0
7,10,Uniform,20.0,0.05,lower,0.0,MedianMAD,500,0.5,0.0,0.5879603960396039,0.44693069306930694,8.451952232159863,10.793388478454665,0.7402000000000001,0.13857259732522487,0.08641761781481828,0.0802,0
7,10,Uniform,20.0,0.05,lower,0.0,Percentile,500,0.5,0.0,0.6631881188118812,0.3995841584158416,7.4336183582574655,9.399582143896883,0.7028,0.12579271686083604,0.04005342126692435,0.0574,0
7,10,Uniform,20.0,0.05,lower,0.0,QFactor,500,0.5,0.0,0.7917623762376238,0.4358019801980198,8.038124926252738,10.832652010033707,0.7894000000000001,0.1257747135044013,0.09696378553578763,0.1254,0
8,10,Uniform,20.0,0.05,upper,0.0,MaxMin,500,0.5,0.0,0.6650495049504951,0.49651485148514857,9.772333719295117,12.371534266697767,0.7846000000000002,0.129213901980127,0.0930032539590914,0.0726,0
8,10,Uniform,20.0,0.05,upper,0.0,MeanSD,500,0.5,0.0,0.6394653465346535,0.3677425742574257,6.169043544733899,7.82836921367959,0.7516,0.12477410450213065,0.09242828427997335,0.0798,0
8,10,Uniform,20.0,0.05,upper,0.0,MedianMAD,500,0.5,0.0,0.5994851485148515,0.4510891089108911,8.48942313712229,10.735873261943652,0.7283999999999999,0.138967852859057,0.08615922790149616,0.0758,0
8,10,Uniform,20.0,0.05,upper,0.0,Percentile,500,0.5,0.0,0.6671881188118811,0.400059405940594,7.5400588850626535,9.537353859589759,0.6965999999999999,0.12633432123315855,0.040751986064808024,0.0558,0
8,10,Uniform,20.0,0.05,upper,0.0,QFactor,500,0.5,0.0,0.7847326732673267,0.43429702970297035,8.09720198890347,10.944643246758677,0.7846000000000002,0.129213901980127,0.0947376472497099,0.1294,0
9,10,Right-skewed,20.0,0.0,clean,0.0,MaxMin,500,0.0,0.0,0.8157029702970297,0.4925544554455446,13.52251884310724,17.59711189365542,0.6033999999999999,0.1545840627779263,0.09160188105899073,0.1118,0
9,10,Right-skewed,20.0,0.0,clean,0.0,MeanSD,500,0.0,0.0,0.804039603960396,0.2020792079207921,3.637033789759693,5.005819896686191,0.6013999999999999,0.14826329285435433,0.08940042797639405,0.1508,0
9,10,Right-skewed,20.0,0.0,clean,0.0,MedianMAD,500,0.0,0.0,0.7895247524752474,0.23239603960396038,4.830730635134791,6.506933551329936,0.5915999999999999,0.15830211343578604,0.08367629189762582,0.1394,0
9,10,Right-skewed,20.0,0.0,clean,0.0,Percentile,500,0.0,0.0,0.817960396039604,0.22520792079207919,4.541059233722094,5.915480986840811,0.5476,0.15106250282422518,0.04929184150039344,0.0874,0
9,10,Right-skewed,20.0,0.0,clean,0.0,QFactor,500,0.0,0.0,0.8616237623762376,0.5070693069306931,16.117474061754326,19.80642296675631,0.6022000000000001,0.15563934982654243,0.09089325216606521,0.1344,0
10,10,Right-skewed,20.0,0.05,lower,0.0,MaxMin,500,0.5,0.0,0.8153663366336634,0.48964356435643575,13.315492931300607,17.418200342092167,0.6214000000000001,0.15903655318982804,0.09065482711326303,0.1032,1
10,10,Right-skewed,20.0,0.05,lower,0.0,MeanSD,500,0.5,0.0,0.803049504950495,0.20578217821782177,3.675954215893918,5.044547872981718,0.6177999999999999,0.15398240536608282,0.09001546080639136,0.1454,1
10,10,Right-skewed,20.0,0.05,lower,0.0,MedianMAD,500,0.5,0.0,0.7926336633663366,0.2293465346534653,4.614517224843976,6.25456381389288,0.6073999999999999,0.16376470241022947,0.08405286035899198,0.1392,1
10,10,Right-skewed,20.0,0.05,lower,0.0,Percentile,500,0.5,0.0,0.8188910891089108,0.224019801980198,4.480540969045612,5.846687438519081,0.5574,0.15274784387223025,0.05012152474810165,0.0802,1
10,10,Right-skewed,20.0,0.05,lower,0.0,QFactor,500,0.5,0.0,0.8566138613861386,0.5053861386138614,15.993524194024179,19.73039762714204,0.6204,0.16060956030611456,0.09174695116156847,0.1328,1
11,10,Right-skewed,20.0,0.05,upper,0.0,MaxMin,500,0.5,0.0,0.820970297029703,0.4912673267326733,13.284398430455997,17.27050160635551,0.62,0.15559054223720456,0.09034065906795372,0.1112,1
11,10,Right-skewed,20.0,0.05,upper,0.0,MeanSD,500,0.5,0.0,0.8066138613861387,0.20083168316831682,3.5067357552960954,4.754902795661012,0.6189999999999999,0.1508127613232909,0.09045726329068465,0.156,1
11,10,Right-skewed,20.0,0.05,upper,0.0,MedianMAD,500,0.5,0.0,0.790118811881188,0.2365148514851485,4.793909890018548,6.2377103333688435,0.613,0.1574184268827652,0.08400392328964479,0.1464,1
11,10,Right-skewed,20.0,0.05,upper,0.0,Percentile,500,0.5,0.0,0.818039603960396,0.2236435643564356,4.389786981386034,5.651337649426184,0.5585999999999999,0.14801979502566162,0.048411292271433766,0.0904,1
11,10,Right-skewed,20.0,0.05,upper,0.0,QFactor,500,0.5,0.0,0.8638415841584157,0.5066138613861387,15.93983569777239,19.566603682166992,0.6187999999999999,0.15625425044318997,0.09167451139380356,0.1362,1
12,10,Left-skewed,20.0,0.0,clean,0.0,MaxMin,500,0.0,0.0,0.7771485148514851,0.544970297029703,13.373267125148816,16.745654181435185,0.9984000000000001,0.012560076075487921,0.0914775890453721,0.0004,0
12,10,Left-skewed,20.0,0.0,clean,0.0,MeanSD,500,0.0,0.0,0.7885742574257426,0.2140396039603961,3.426889212986099,4.382869337965494,0.9246000000000001,0.053484213766722674,0.09236608962596284,0.0002,0
12,10,Left-skewed,20.0,0.0,clean,0.0,MedianMAD,500,0.0,0.0,0.7571683168316831,0.2653465346534654,4.71450169123748,6.055410296877366,0.8974000000000001,0.09608175376632978,0.0857901616445423,0.0,0
12,10,Left-skewed,20.0,0.0,clean,0.0,Percentile,500,0.0,0.0,0.796970297029703,0.23974257425742573,4.0974152670760935,5.205441407236566,0.8984000000000002,0.012560076075487916,0.0031400190188727467,0.0002,0
12,10,Left-skewed,20.0,0.0,clean,0.0,QFactor,500,0.0,0.0,0.8985148514851485,0.3456831683168317,5.28596254229723,6.716579887983604,0.9984000000000001,0.012560076075487921,0.07714082134467302,0.0016,0
13,10,Left-skewed,20.0,0.05,lower,0.0,MaxMin,500,0.5,0.0,0.7726930693069307,0.5434257425742574,13.415650572328348,16.876010718661387,0.9987999999999999,0.010899430957182155,0.08893735232828733,0.0,0
